,index,ia_timeout,start_time,date,hour,weekday,daytype,origin_id,destination_id,driving_distance,euclidean_distance,duration,end_time,req_id
44,0,18.65276,2023-01-02 21:01:27.685341+00:00,2023-01-02,21,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 21:51:27.685341+00:00,183
45,1,29.133361,2023-01-02 22:01:08.856384+00:00,2023-01-02,22,0,generic_day,1,2,1000,714.2857142857143,3000,2023-01-02 22:51:08.856384+00:00,185
46,3,7.545711,2023-01-02 22:01:16.402095+00:00,2023-01-02,22,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 22:51:16.402095+00:00,186
47,2,6.962984,2023-01-02 23:00:59.378438+00:00,2023-01-02,23,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 23:50:59.378438+00:00,190
48,2,21.73557,2023-01-03 01:00:33.424180+00:00,2023-01-03,1,1,generic_day,2,3,1000,714.2857142857143,3000,2023-01-03 01:50:33.424180+00:00,196
49,1,8.447705,2023-01-03 02:01:04.950438+00:00,2023-01-03,2,1,generic_day,1,2,1000,714.2857142857143,3000,2023-01-03 02:51:04.950438+00:00,200
50,3,10.521961,2023-01-03 02:01:15.472399+00:00,2023-01-03,2,1,generic_day,3,0,1000,714.2857142857143,3000,2023-01-03 02:51:15.472399+00:00,201
51,0,16.315611,2023-01-03 03:01:39.496372+00:00,2023-01-03,3,1,generic_day,0,1,1000,714.2857142857143,3000,2023-01-03 03:51:39.496372+00:00,206
52,2,22.980989,2023-01-03 05:01:05.946051+00:00,2023-01-03,5,1,generic_day,2,3,1000,714.2857142857143,3000,2023-01-03 05:51:05.946051+00:00,215
53,3,9.837572,2023-01-03 06:00:41.981408+00:00,2023-01-03,6,1,generic_day,3,0,1000,714.2857142857143,3000,2023-01-03 06:50:41.981408+00:00,218
54,1,0.414774,2023-01-03 06:00:42.396182+00:00,2023-01-03,6,1,generic_day,1,2,1000,714.2857142857143,3000,2023-01-03 06:50:42.396182+00:00,219
55,0,8.619356,2023-01-03 07:01:37.543512+00:00,2023-01-03,7,1,generic_day,0,1,1000,714.2857142857143,3000,2023-01-03 07:51:37.543512+00:00,223
56,0,43.000262,2023-01-03 09:01:18.838623+00:00,2023-01-03,9,1,generic_day,0,1,1000,714.2857142857143,3000,2023-01-03 09:51:18.838623+00:00,228
57,1,17.082192,2023-01-03 10:00:50.355075+00:00,2023-01-03,10,1,generic_day,1,2,1000,714.2857142857143,3000,2023-01-03 10:50:50.355075+00:00,232
58,3,21.088135,2023-01-03 10:01:13.842110+00:00,2023-01-03,10,1,generic_day,3,0,1000,714.2857142857143,3000,2023-01-03 10:51:13.842110+00:00,234
59,2,8.566186,2023-01-03 11:01:23.716424+00:00,2023-01-03,11,1,generic_day,2,3,1000,714.2857142857143,3000,2023-01-03 11:51:23.716424+00:00,239
60,0,15.164082,2023-01-03 13:00:45.767650+00:00,2023-01-03,13,1,generic_day,0,1,1000,714.2857142857143,3000,2023-01-03 13:50:45.767650+00:00,247
61,1,9.922067,2023-01-03 14:01:09.398165+00:00,2023-01-03,14,1,generic_day,1,2,1000,714.2857142857143,3000,2023-01-03 14:51:09.398165+00:00,250
62,3,26.25712,2023-01-03 14:01:35.655285+00:00,2023-01-03,14,1,generic_day,3,0,1000,714.2857142857143,3000,2023-01-03 14:51:35.655285+00:00,251
63,2,12.156402,2023-01-03 15:00:47.811687+00:00,2023-01-03,15,1,generic_day,2,3,1000,714.2857142857143,3000,2023-01-03 15:50:47.811687+00:00,252
64,2,20.739164,2023-01-03 17:00:37.849119+00:00,2023-01-03,17,1,generic_day,2,3,1000,714.2857142857143,3000,2023-01-03 17:50:37.849119+00:00,262
65,3,52.142441,2023-01-03 18:00:53.406120+00:00,2023-01-03,18,1,generic_day,3,0,1000,714.2857142857143,3000,2023-01-03 18:50:53.406120+00:00,264
66,1,2.123704,2023-01-03 18:00:58.611731+00:00,2023-01-03,18,1,generic_day,1,2,1000,714.2857142857143,3000,2023-01-03 18:50:58.611731+00:00,266
67,0,40.779556,2023-01-03 19:01:50.071363+00:00,2023-01-03,19,1,generic_day,0,1,1000,714.2857142857143,3000,2023-01-03 19:51:50.071363+00:00,270
68,2,2.513749,2023-01-03 21:01:04.588478+00:00,2023-01-03,21,1,generic_day,2,3,1000,714.2857142857143,3000,2023-01-03 21:51:04.588478+00:00,279
69,3,7.684008,2023-01-03 22:00:12.272486+00:00,2023-01-03,22,1,generic_day,3,0,1000,714.2857142857143,3000,2023-01-03 22:50:12.272486+00:00,280
70,1,18.112701,2023-01-03 22:00:58.285028+00:00,2023-01-03,22,1,generic_day,1,2,1000,714.2857142857143,3000,2023-01-03 22:50:58.285028+00:00,282
71,0,13.513926,2023-01-03 23:00:25.587893+00:00,2023-01-03,23,1,generic_day,0,1,1000,714.2857142857143,3000,2023-01-03 23:50:25.587893+00:00,285
72,0,10.926449,2023-01-04 01:00:22.841321+00:00,2023-01-04,1,2,generic_day,0,1,1000,714.2857142857143,3000,2023-01-04 01:50:22.841321+00:00,292
73,3,2.713024,2023-01-04 02:00:03.534779+00:00,2023-01-04,2,2,generic_day,3,0,1000,714.2857142857143,3000,2023-01-04 02:50:03.534779+00:00,296
74,1,22.937673,2023-01-04 02:00:26.472452+00:00,2023-01-04,2,2,generic_day,1,2,1000,714.2857142857143,3000,2023-01-04 02:50:26.472452+00:00,297
75,2,4.715541,2023-01-04 03:01:41.327503+00:00,2023-01-04,3,2,generic_day,2,3,1000,714.2857142857143,3000,2023-01-04 03:51:41.327503+00:00,303
76,0,15.531774,2023-01-04 05:00:49.137178+00:00,2023-01-04,5,2,generic_day,0,1,1000,714.2857142857143,3000,2023-01-04 05:50:49.137178+00:00,308
77,3,14.055333,2023-01-04 06:00:28.004056+00:00,2023-01-04,6,2,generic_day,3,0,1000,714.2857142857143,3000,2023-01-04 06:50:28.004056+00:00,312
78,1,37.552587,2023-01-04 06:01:05.556643+00:00,2023-01-04,6,2,generic_day,1,2,1000,714.2857142857143,3000,2023-01-04 06:51:05.556643+00:00,313
79,2,4.215512,2023-01-04 07:01:04.263719+00:00,2023-01-04,7,2,generic_day,2,3,1000,714.2857142857143,3000,2023-01-04 07:51:04.263719+00:00,318
80,2,7.986254,2023-01-04 09:00:38.340456+00:00,2023-01-04,9,2,generic_day,2,3,1000,714.2857142857143,3000,2023-01-04 09:50:38.340456+00:00,326
81,1,17.218611,2023-01-04 10:01:21.483616+00:00,2023-01-04,10,2,generic_day,1,2,1000,714.2857142857143,3000,2023-01-04 10:51:21.483616+00:00,330
82,3,12.133885,2023-01-04 10:01:33.617501+00:00,2023-01-04,10,2,generic_day,3,0,1000,714.2857142857143,3000,2023-01-04 10:51:33.617501+00:00,331
83,0,27.025738,2023-01-04 11:01:00.643239+00:00,2023-01-04,11,2,generic_day,0,1,1000,714.2857142857143,3000,2023-01-04 11:51:00.643239+00:00,332
84,2,12.64343,2023-01-04 13:01:00.029529+00:00,2023-01-04,13,2,generic_day,2,3,1000,714.2857142857143,3000,2023-01-04 13:51:00.029529+00:00,343
85,3,2.659544,2023-01-04 14:00:02.689073+00:00,2023-01-04,14,2,generic_day,3,0,1000,714.2857142857143,3000,2023-01-04 14:50:02.689073+00:00,344
86,1,13.252945,2023-01-04 14:00:53.775746+00:00,2023-01-04,14,2,generic_day,1,2,1000,714.2857142857143,3000,2023-01-04 14:50:53.775746+00:00,347
87,0,35.309492,2023-01-04 15:01:43.694938+00:00,2023-01-04,15,2,generic_day,0,1,1000,714.2857142857143,3000,2023-01-04 15:51:43.694938+00:00,350
88,0,6.236823,2023-01-04 17:00:32.655337+00:00,2023-01-04,17,2,generic_day,0,1,1000,714.2857142857143,3000,2023-01-04 17:50:32.655337+00:00,358
89,3,8.310581,2023-01-04 18:01:02.207767+00:00,2023-01-04,18,2,generic_day,3,0,1000,714.2857142857143,3000,2023-01-04 18:51:02.207767+00:00,360
90,1,11.524288,2023-01-04 18:01:13.732055+00:00,2023-01-04,18,2,generic_day,1,2,1000,714.2857142857143,3000,2023-01-04 18:51:13.732055+00:00,361
91,2,36.933335,2023-01-04 19:01:36.558901+00:00,2023-01-04,19,2,generic_day,2,3,1000,714.2857142857143,3000,2023-01-04 19:51:36.558901+00:00,367
92,0,10.54781,2023-01-04 21:01:13.918937+00:00,2023-01-04,21,2,generic_day,0,1,1000,714.2857142857143,3000,2023-01-04 21:51:13.918937+00:00,374
93,3,2.277892,2023-01-04 22:00:57.297937+00:00,2023-01-04,22,2,generic_day,3,0,1000,714.2857142857143,3000,2023-01-04 22:50:57.297937+00:00,377
94,1,0.858663,2023-01-04 22:00:58.156600+00:00,2023-01-04,22,2,generic_day,1,2,1000,714.2857142857143,3000,2023-01-04 22:50:58.156600+00:00,378
95,2,2.739477,2023-01-04 23:00:57.835754+00:00,2023-01-04,23,2,generic_day,2,3,1000,714.2857142857143,3000,2023-01-04 23:50:57.835754+00:00,383
96,2,3.555344,2023-01-05 01:01:52.308010+00:00,2023-01-05,1,3,generic_day,2,3,1000,714.2857142857143,3000,2023-01-05 01:51:52.308010+00:00,391
97,3,18.767605,2023-01-05 02:01:35.995661+00:00,2023-01-05,2,3,generic_day,3,0,1000,714.2857142857143,3000,2023-01-05 02:51:35.995661+00:00,394
98,1,14.427325,2023-01-05 02:01:50.422986+00:00,2023-01-05,2,3,generic_day,1,2,1000,714.2857142857143,3000,2023-01-05 02:51:50.422986+00:00,395
99,0,20.082349,2023-01-05 03:01:17.170225+00:00,2023-01-05,3,3,generic_day,0,1,1000,714.2857142857143,3000,2023-01-05 03:51:17.170225+00:00,397
100,2,5.856777,2023-01-05 05:00:15.278178+00:00,2023-01-05,5,3,generic_day,2,3,1000,714.2857142857143,3000,2023-01-05 05:50:15.278178+00:00,404
101,3,17.835201,2023-01-05 06:01:12.607913+00:00,2023-01-05,6,3,generic_day,3,0,1000,714.2857142857143,3000,2023-01-05 06:51:12.607913+00:00,408
102,1,8.003707,2023-01-05 06:01:33.508714+00:00,2023-01-05,6,3,generic_day,1,2,1000,714.2857142857143,3000,2023-01-05 06:51:33.508714+00:00,410
103,0,4.589388,2023-01-05 07:01:10.791958+00:00,2023-01-05,7,3,generic_day,0,1,1000,714.2857142857143,3000,2023-01-05 07:51:10.791958+00:00,413
104,0,20.439961,2023-01-05 09:01:08.522069+00:00,2023-01-05,9,3,generic_day,0,1,1000,714.2857142857143,3000,2023-01-05 09:51:08.522069+00:00,421
105,1,8.393849,2023-01-05 10:00:21.140856+00:00,2023-01-05,10,3,generic_day,1,2,1000,714.2857142857143,3000,2023-01-05 10:50:21.140856+00:00,424
106,3,15.407836,2023-01-05 10:00:59.433888+00:00,2023-01-05,10,3,generic_day,3,0,1000,714.2857142857143,3000,2023-01-05 10:50:59.433888+00:00,427
107,2,7.345673,2023-01-05 11:01:23.221288+00:00,2023-01-05,11,3,generic_day,2,3,1000,714.2857142857143,3000,2023-01-05 11:51:23.221288+00:00,431
108,0,3.607559,2023-01-05 13:01:03.932956+00:00,2023-01-05,13,3,generic_day,0,1,1000,714.2857142857143,3000,2023-01-05 13:51:03.932956+00:00,438
109,1,20.223293,2023-01-05 14:00:32.903470+00:00,2023-01-05,14,3,generic_day,1,2,1000,714.2857142857143,3000,2023-01-05 14:50:32.903470+00:00,440
110,3,2.526994,2023-01-05 14:01:03.609154+00:00,2023-01-05,14,3,generic_day,3,0,1000,714.2857142857143,3000,2023-01-05 14:51:03.609154+00:00,443
111,2,6.045775,2023-01-05 15:00:47.200119+00:00,2023-01-05,15,3,generic_day,2,3,1000,714.2857142857143,3000,2023-01-05 15:50:47.200119+00:00,446
112,2,21.447093,2023-01-05 17:01:28.504275+00:00,2023-01-05,17,3,generic_day,2,3,1000,714.2857142857143,3000,2023-01-05 17:51:28.504275+00:00,454
113,1,3.913014,2023-01-05 18:00:40.973316+00:00,2023-01-05,18,3,generic_day,1,2,1000,714.2857142857143,3000,2023-01-05 18:50:40.973316+00:00,457
114,3,33.070662,2023-01-05 18:01:14.043978+00:00,2023-01-05,18,3,generic_day,3,0,1000,714.2857142857143,3000,2023-01-05 18:51:14.043978+00:00,458
115,0,14.239565,2023-01-05 19:00:55.320467+00:00,2023-01-05,19,3,generic_day,0,1,1000,714.2857142857143,3000,2023-01-05 19:50:55.320467+00:00,461
116,2,10.951282,2023-01-05 21:00:38.754043+00:00,2023-01-05,21,3,generic_day,2,3,1000,714.2857142857143,3000,2023-01-05 21:50:38.754043+00:00,470
117,1,3.873421,2023-01-05 22:00:49.925215+00:00,2023-01-05,22,3,generic_day,1,2,1000,714.2857142857143,3000,2023-01-05 22:50:49.925215+00:00,473
118,3,5.345853,2023-01-05 22:01:16.554281+00:00,2023-01-05,22,3,generic_day,3,0,1000,714.2857142857143,3000,2023-01-05 22:51:16.554281+00:00,475
119,0,2.693568,2023-01-05 23:01:07.556128+00:00,2023-01-05,23,3,generic_day,0,1,1000,714.2857142857143,3000,2023-01-05 23:51:07.556128+00:00,479
