,index,ia_timeout,start_time,date,hour,weekday,daytype,origin_id,destination_id,driving_distance,euclidean_distance,duration,end_time,req_id,soc_delta,welltotank_kwh,tanktowheel_kwh,soc_delta_kwh,welltotank_emissions,tanktowheel_emissions,co2_emissions,req_origin_id,req_destination_id,start_soc,plate,end_soc
101,3,12.435901,2023-01-02 09:01:14.106790+00:00,2023-01-02,9,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 09:51:14.106790+00:00,134,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,70.0,2,60.0
102,0,5.51817,2023-01-02 09:01:19.624960+00:00,2023-01-02,9,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 09:51:19.624960+00:00,135,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,50.0,3,40.0
103,0,15.377383,2023-01-02 10:00:43.607428+00:00,2023-01-02,10,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 10:50:43.607428+00:00,137,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,60.0,2,50.0
104,2,9.186668,2023-01-02 10:00:56.932715+00:00,2023-01-02,10,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 10:50:56.932715+00:00,139,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,100.0,1,90.0
105,2,29.740098,2023-01-02 11:01:26.672813+00:00,2023-01-02,11,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 11:51:26.672813+00:00,140,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,70.0,0,60.0
106,3,3.675761,2023-01-02 11:01:30.348574+00:00,2023-01-02,11,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 11:51:30.348574+00:00,141,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,90.0,1,80.0
107,1,0.155744,2023-01-02 11:01:30.504318+00:00,2023-01-02,11,0,generic_day,1,2,1000,714.2857142857143,3000,2023-01-02 11:51:30.504318+00:00,142,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,100.0,3,90.0
108,1,11.095552,2023-01-02 12:00:43.807566+00:00,2023-01-02,12,0,generic_day,1,2,1000,714.2857142857143,3000,2023-01-02 12:50:43.807566+00:00,144,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,50.0,2,40.0
109,2,21.028526,2023-01-02 12:01:04.836092+00:00,2023-01-02,12,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 12:51:04.836092+00:00,145,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,90.0,3,80.0
110,3,10.547927,2023-01-02 12:01:15.384019+00:00,2023-01-02,12,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 12:51:15.384019+00:00,146,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,60.0,0,50.0
